w1	w2	label	prediction
bro	mustache	brostache	broache
fruit	utopia	fruitopia	fruitia
dormitory	incest	dormcest	dormitorst
scarborough	siberia	scarberia	scarborougha
botulism	toxin	botox	botulisin
slut	sorority	slurority	sorority
smile	silence	smilence	smilence
feminist	nazi	feminazi	feminisi
tree	heap	treap	trap
hellish	hallway	hellway	hellisway
beat	beetles	beatles	beatles
beef	buffalo	beefalo	buffalo
defensive	diss	dissfensive	defensives
pocket	monster	pokemon	pocketter
ska	hardcore	skacore	sardcore
stay	vacation	staycation	sacation
alphabetic	numeric	alphanumeric	alphabetric
blog	celebrity	blogebitry	belebrity
private	proxy	privoxy	privatey
vermont	monster	vermontster	vermoster
tangerine	pomelo	tangelo	tangerielo
obama	mania	obamania	omania
documentary	soap	docusoap	documentap
fantastic	orgasmic	fantasmic	fantagasmic
aforementioned	texted	aforetexted	aforementioned
pray	playstation	praystation	prastation
hibernate	dating	hiberdating	hiberating
capsule	tablet	caplet	capsullet
picture	dictionary	pictionary	pictutionary
cream	popsicle	creamsicle	creasicle
veep	sweepstakes	veepstakes	veepstakes
rubin	economics	rubinomics	reconomics
blog	pilates	blogilates	bloates
nigger	piglet	nigglet	niggeret
cosmos	organism	cosmonism	cosmonism
methyl	alcohol	methanol	mealcohol
dangerous	hazardous	dazardous	dangerardous
lebron	wannabe	lebronnabe	lebronabe
quantum	bit	qubit	quantt
chronology	optimist	chronoptimist	chronologist
proteinaceous	infectious	prion	proteinafectious
mock	documentary	mockumentary	mocumentary
television	evangelist	televangelist	televisionelist
banjo	guitar	banjitar	banitar
phone	conundrum	phonundrum	phonedrum
navajo	hunky	navahonky	navanky
system	administrator	sysadmin	syministrator
static	satellite	statite	statellite
fairfield	osborn	fairborn	fairfieldn
maybe	perhaps	mayhaps	maerhaps
kodambakkam	hollywood	kollywood	kodamballywood
formal	casual	formasual	formaual
snide	remark	snark	sremark
nasa	astronaut	nastronaut	natronaut
pegasus	unicorn	pegacorn	pegnicorn
biological	pioneer	bioneer	biologicaler
winning	company	winco	winningny
prevent	acid	prevacid	prevend
smoke	maze	smaze	smoke
nifty	fabulous	niftabulous	niabulous
seattle	tacoma	seatac	seatacoma
monster	asteroid	monsteroid	monsteroid
communication	broadcast	comcast	communicationast
elevator	vision	elevision	elevation
guy	eyeliner	guyliner	geliner
banquet	dance	banquance	bandance
gay	radar	gaydar	gaar
midnight	martini	midnitini	midmartini
uber	fantastic	ubertastic	uberastic
glial	lymphatic	glymphatic	gymphatic
arise	ascent	aricent	aricent
kid	video	kidvid	kido
parent	paranoia	parentnoia	parranoia
type	hyperventilate	typerventilate	terventilate
metro	homosexual	metrosexual	metrosexual
midget	ninja	minja	midgeta
pellet	resistor	pellistor	presistor
commute	comminicate	commuticate	commuminicate
cybernetics	psychedelic	cyberdelic	cybernethedelic
bare	kareoke	bareoke	bareoke
man	panther	manther	mather
conservative	democrats	condem	conservativats
hiccup	burp	hiccurp	hiccup
green	blue	grue	greene
ad	infested	adfested	adsted
after	morning	aftorning	aftering
moon	landscape	moonscape	mondscape
awkward	sauce	awksauce	awkwarde
biography	picture	biopic	biographure
nose	ostracize	nostracize	notracize
every	time	errtime	evere
penn	engineer	penngineer	penineer
net	convertible	netvertible	nonvertible
fake	rolex	folex	folex
noun	adjective	nounjective	nojective
jihad	hobbyist	jihobbyist	jihabyist
ramen	woman	rawoman	ramman
human	manure	humanure	humaure
machine	cinema	machinima	machinema
melodic	odyssey	melodyssey	meldyssey
pug	beagle	puggle	pagle
swedish	english	swenglish	swenglish
brother	science	broscience	brocience
celebrity	debutante	celebutante	celebritante
knife	fork	knork	knirk
alpha	beta	alphabet	alpha
hormone	emotion	hormotion	hormotion
europe	arabia	eurabia	europeia
former	girl	forgirl	formel
electronic	mail	email	electronicl
pregnancy	amnesia	pregnesia	pregnanesia
masturbate	wait	masturwait	masturbat
spam	blogger	splogger	spagger
spirit	commitment	spirmitment	spirittment
press	prostitute	presstitute	prostitute
near	orgasm	neargasm	negasm
anime	matrix	animatrix	amatrix
crook	brooklyn	crooklyn	croooklyn
permanent	agriculture	permaculture	permaniculture
chuckle	snort	chortle	chucklet
china	india	chindia	chinia
gallop	triumph	galumph	galliumph
refute	repudiate	refudiate	refuteiate
scan	translation	scanlation	sanslation
ecology	sabotage	ecotage	ecologytage
best	worst	blurst	borst
internal	communication	intercom	incommunication
folks	taxonomy	folksonomy	folkonomy
beat	sputnik	beatnik	beatnik
brand	wagon	brandwagon	brandon
hetero	jetlagged	hetlagged	hettlagged
ridiculous	monstrosity	ridiculosity	ridiculorosity
man	vagina	mangina	manna
tampa	miami	tamiami	tampai
korean	pop	kpop	korop
data	surveillance	dataveillance	dataillance
food	baby	faby	foody
camera	recorder	camcorder	camerader
exercise	cycle	exercycle	exercisle
snow	armageddon	snowmageddon	snoweddon
aurium	lactate	aurictate	aurictate
dilemma	machine	dilemmachine	dimachine
app	obsessed	appsessed	absessed
conglomerate	coffee	conglomocoffee	conglomerate
chair	aerobics	chairobics	charobics
accountability	buddy	accountabilibuddy	accountability
fabulous	eyelash	fabulash	fabulelash
zebra	donkey	zonkey	zebraey
awesome	amazing	awesmazing	awesoming
doppelgangers	bang	doppelbangers	doppelganang
nicotine	cigarette	nicorette	nicotinette
kill	bulldozer	killdozer	killdozer
kid	adult	kidult	kult
gypsy	cheapish	gypish	gypsypish
bill	hillary	billary	billary
closed	open	clopen	closen
bank	gangster	bankster	bankster
intelligent	television	intellivision	intelligention
fudge	popsicle	fudgsicle	fudgesicle
games	brainstorming	gamestorming	grainstorming
guitar	arthritis	guitarthritis	guitaritis
global	obesity	globesity	globality
delaware	rancocas	delran	delawarecas
backwards	ass	bassackwards	backwards
lunch	supper	lupper	luncher
fake	insta	finsta	fasta
prim	sissy	prissy	prissy
japan	animation	japanimation	jaimation
mosaic	godzilla	mozilla	mosazilla
romo	momentum	romomentum	romontum
explore	pornography	explornography	explonography
adorable	precious	adorapresh	adoprecious
flexibility	security	flexicurity	flexibilitity
micro	college	microllege	mcollege
balloon	fanatics	balloonatics	balanatics
motor	cavalcade	motorcade	motorcade
quasistellar	star	quasar	quasiststar
mexican	nigger	mexinigger	mexicaner
cocacola	colonization	cocacolonization	cocolonization
destiny	amnesia	destinesia	destinsia
disposal	phobia	disposophobia	disphobia
precarious	proletariat	precariat	preproletariat
electronic	magazine	ezine	electronizine
lebron	bum	lebum	lebrum
islamic	fascist	islamofascist	islamicist
fan	magazine	fanzine	fanzine
squirm	wiggle	squiggle	squiggle
magnetic	doodle	magnadoodle	magnetice
clap	apathy	clapathy	clathy
yoga	pilates	yogalates	yogates
facebook	brag	facebrag	faceboog
swoosh	swastika	swooshtika	swooshika
incognito	negro	incognegro	incognito
blend	morph	blorph	blenph
fact	ficticious	factitious	facicious
triple	biscuit	triscuit	tripscuit
jingle	dangle	jangle	jingangle
russian	english	russlish	russilish
bionic	chronicle	bionicle	biononicle
rocknroll	hillybilly	rockabilly	rochillybilly
meow	mouse	meowse	mouse
accent	future	accenture	accenture
animation	mutation	animutation	animutation
friend	enemy	frenemy	friendy
facebook	rape	frape	facebooe
man	tantrum	mantrum	matrum
bride	godzilla	bridezilla	brodzilla
korean	english	konglish	kornglish
beep	epilepsy	beepilepsy	beelepsy
instrumental	medley	instrumedley	instrumentaly
twilight	night	twinight	twilnight
consolidated	rail	conrail	consolidatel
bayonet	network	bayonetwork	banetwork
view	humongous	viewmongous	vimongous
later	instagram	latergram	latergram
nerd	hijacking	nerdjacking	nejacking
marketing	architecture	marchitecture	markehitecture
news	broadcast	newscast	newbroadcast
kiss	virginity	kirginity	kissinity
bad	radical	badical	bradical
advertising	entertainment	advertainment	advertertainment
neverending	referendum	neverendum	nevereferendum
clinton	eastwood	clintwood	cleastwood
cellphone	selfish	cellfish	cellphonish
white	nigger	wigger	whiteer
microwave	wait	microwait	microwait
dad	adventure	dadventure	daventure
maltese	poodle	maltipoo	maltesele
heterosexual	normativity	heteronormativity	heterosexativity
female	bro	febro	febro
british	comedy	britcom	britomedy
whale	dolphin	wholphin	whalphin
california	saratoga	calistoga	califoratoga
plant	animal	planimal	plantal
kentucky	indiana	kentuckiana	kentuckana
interrogative	bang	interrobang	interrogating
residue	drool	residrool	residuel
weasley	incest	weasleycest	weaincest
engaged	gay	engayed	engagy
blog	diary	blogairy	biary
austerity	hysterical	austerical	austerierical
slam	ambulance	slambulance	slabulance
labor	neighborhood	laborhood	lighborhood
mobile	tone	mobitone	mobile
romantic	comedy	romcom	romanticy
skirt	short	skort	skhort
beer	delicious	beerlicious	belicious
cacaphony	cocoa	cacaophony	cacaphona
teleprinter	exchange	telex	teleprichange
chip	striptease	chiptease	chiptease
breakfast	dinner	brunner	breakinner
michigan	indiana	michiana	micindiana
cuddle	relationship	cuddleship	celationship
potato	tomato	pomato	potamato
man	alimony	manlimony	manony
dry	ice	drice	de
former	girlfriend	forgirl	formefriend
by	cause	because	buse
pixel	vigilante	pixelante	pigilante
lullaby	buoy	lullabuoy	lullaby
intoxication	tax	intaxication	intoxicationx
absolutely	ridiculous	absoludicrous	absoluticulous
decor	exorcize	decorcize	decorcize
affluence	influenza	affluenza	affluencenza
waite	rose	waitrose	waite
palestinian	hollywood	pallywood	palestillywood
balanced	unbalanced	balun	balabalanced
him	insomnia	himsomnia	hiomnia
grass	recycle	grasscycle	gracycle
spill	million	spillion	spillion
butterfly	flump	butterflump	butterump
screen	snapshot	screenshot	screenshot
situation	comedy	sitcom	situationy
arbor	literati	arberati	arborrati
chav	fantastic	chavtastic	chatastic
jeans	leggings	jeggings	jeansings
nintendo	tendonitis	nintendonitis	nintenonitis
slang	linguistics	slanguistics	slangistics
man	explaining	mansplaining	manaining
narcissist	stick	narcissistick	narcistick
clam	tomato	clamato	comato
police	astronaut	policenauts	pastronaut
smoke	fog	smog	smog
non	apology	nonpology	napology
cocker	poodle	cockapoo	cockerle
goal	ultimate	goaltimate	gultimate
birthday	christmas	birthmas	bichristmas
man	purse	murse	mane
hot	atlanta	hotlanta	holanta
stalker	fan	stan	stalken
ruth	euthanasia	ruthanasia	rutanasia
eye	violating	eyeolating	eyeating
ipod	peeper	ipeeper	ipoder
trump	pumpkin	trumpkin	trumpkin
ultraportable	notebook	ultrabook	ultraportablek
blot	hotch	blotch	bloth
wiki	citizen	wikizen	wikizen
cabaret	renaissance	cabarenaissance	cabarissance
advertisement	editorial	advertorial	advertisemental
bluetooth	tool	bluetool	bluettool
man	landscaping	manscaping	mascaping
squirrel	kitten	squitten	squirreen
digital	camera	digicam	digitamera
video	blog	vlog	vidlog
drink	marathon	drinkathon	drinathon
net	aristocracy	netocracy	netocracy
thin	inspiration	thinspiration	tspiration
confused	puzzled	confuzzled	confuseded
vietnamese	asian	vietnamasian	vietnasian
mutual	exclusion	mutex	mutulusion
volcano	smog	vog	volcang
bachman	eyes	bachmeyes	bachmans
strategy	tragedy	stragedy	strategedy
boy	conversation	boycon	boersation
sex	texting	sexting	sexing
bold	audacious	bodacious	bolacious
economics	metric	econometric	economicic
medical	care	medicare	medicale
wallaby	kangaroo	wallaroo	wallagaroo
net	citizen	netizen	netzen
international	network	internet	internationalk
shock	documentary	shockumentary	socumentary
fucking	retard	fucktard	fuckingard
blazed	blasted	blaysted	blazested
brahman	angus	brangus	brahmans
anticipation	disappointment	anticipointment	anticipationintment
advertising	editorial	advertorial	advertiditorial
sarcasm	catastrophe	sarcastrophe	sartastrophe
rune	landscape	runescape	randscape
capsule	communicator	capcom	ccommunicator
vegan	evangelical	vegevangelical	veangelical
damn	fantastic	damntastic	dantastic
neighbor	internet	neighbornet	neighbornet
croissant	sandwich	croissandwich	crosandwich
mechanics	electronics	mechatronics	mechanctronics
screw	souvenir	screwvenir	screvenir
prostitute	dude	prostadude	prostitute
chill	relax	chillax	chilax
baker	waterloo	bakerloo	baaterloo
run	nasty	runasty	runy
agnostic	optimist	agnoptimist	agnosticist
tagalog	english	taglish	tagallish
retirement	fire	refirement	retireire
bonnie	damon	bamon	bonnion
against	say	gainsay	agasay
robotic	call	robocall	robotil
ass	osmosis	assmosis	amosis
bohemian	hungarian	bohunk	bohungarian
car	armageddon	carmageddon	cargeddon
gigantic	enormous	ginormous	giganticous
creepy	people	creople	creepple
snack	sacrifice	snackrifice	sacrifice
fork	spoon	foon	foron
flounce	blunder	flounder	flounceer
california	fornication	californication	califonication
dannon	animals	danimals	dannonals
bitch	explosion	bitchplosion	biplosion
rag	magazine	raggazine	ragazine
try	difficult	trifficult	tifficult
man	dog	mog	mag
man	menstruation	manstration	mastruation
zebra	pony	zony	zebry
black	hipster	blipster	blackster
fraternity	jacket	fracket	frateracket
smell	telescope	smelloscope	selescope
charity	mugger	chugger	charityer
black	pakistani	blackistani	blacktani
tanganyika	zanzibar	tanzania	tanganyzibar
pine	dinosaur	pineosaur	pinesaur
jew	afro	jewfro	jero
guitar	ukulele	guitalele	guitarele
ipod	broadcast	podcast	iroadcast
blob	object	blobject	bobject
melancholy	alcoholic	melancholic	melanchololic
grindelwald	dumbledore	grindlelore	grindelwaldore
nuclear	electronic	nucleonic	nelectronic
simultaneous	broadcast	simulcast	simultaneousast
kinetic	connection	kinect	kinetection
napthene	palmitate	napalm	napalmitate
faux	apology	fauxpology	fapology
argument	minimum	argmin	argumentum
loop	circular	loopular	lircular
quebecois	mexican	quebexican	quebecoisan
information	entertainment	infortainment	informertainment
brag	explaining	bragplaining	bragining
mobile	episode	mobisode	mobileode
yell	cellular	yellular	yellular
zeitgeist	ghost	zeitghost	zeitgeist
wiki	encyclopedia	wikipedia	wincyclopedia
web	extrovert	webtrovert	werovert
hillary	bot	hillbot	hillot
castle	asteroid	castleroid	casteroid
frown	calculation	frowculation	falculation
stoned	drunk	strunk	stonunk
medical	marijuana	medijuana	medicaluana
camel	llama	cama	calama
britain	exit	brexit	britait
procrastination	masturbation	procrasturbating	procrastinationation
satisfy	suffice	satisfice	satisfice
instagram	glam	instaglam	instagram
lag	faggot	laggot	lagot
titanium	plywood	plytanium	titanywood
snow	ice	snice	sice
biographical	picture	biopic	biographicale
frapp	cappuccino	frappuccino	frapuccino
joy	orgasm	joygasm	joasm
return	offshoring	reshoring	returnoring
automatic	magic	automagic	automatic
carbon	corundum	carborundum	carrundum
america	track	amtrak	amerrack
sass	asshole	sasshole	sassole
email	address	edress	eaddress
lin	insanity	linsanity	linnity
rack	acne	racne	rane
television	photogenic	telegenic	telephotogenic
electronic	penis	epeen	electronics
you	universe	youniverse	yoverse
digital	evolve	digivolve	digivolve
minimum	maximum	minimax	minaximum
admin	nazi	adminazi	admini
hipster	hypocritical	hipstocratical	hippocritical
gay	gamer	gaymer	gayer
man	boobs	moobs	mans
permanent	frost	permafrost	permanest
electric	execute	electrocute	electricte
ned	alexis	nexis	nexis
biology	electronic	bionic	belectronic
telephone	marketing	telemarketing	telephonting
fang	gore	fangore	fore
croissant	donut	cronut	croissant
boxing	records	boxrec	borecords
proteins	genome	proteome	proteinse
fantastic	fabulous	fantabulous	fantastious
multitude	dude	multidude	multitude
fear	erection	fearection	frection
seuss	musical	seussical	semusical
jew	threesome	jewsome	jewesome
mod	gothic	mothic	modic
fur	explode	fursplode	furode
amazing	awesome	amazome	amazinome
canadian	woodlands	canwood	canoodlands
mexico	california	mexifornia	mcalifornia
agreement	threesome	agreesome	agreementome
spectral	alert	spectralert	spectralt
foreplay	ploy	foreploy	foreploy
malapropism	portmanteau	malamanteau	malapropianteau
fuck	ugly	fugly	fugly
chump	championship	chumpionship	chumponship
fiction	commercial	fictomercial	fictioncial
june	nineteenth	juneteenth	junteenth
sex	exploitation	sexploitation	sexitation
slack	academic	slackademic	sacademic
aerosol	soul	aerosoul	aerosol
pekingese	poodle	pekeapoo	pekingedle
executive	babble	execubabble	executible
miserable	flimsy	mimsy	miserabley
croissant	doughnut	cronut	croissantut
dark	arcane	darkane	darane
congratulations	drag	condragulations	congratulatiog
google	alzheimer	googleheimer	galzheimer
corporation	complaining	corplaining	corporationning
scrambled	omelette	scromlette	scromelette
cyber	librarian	cybrarian	cyberarian
jew	lutheran	jewtheran	jeweran
interior	landscape	inscape	interiocape
kroger	yogurt	krogert	kroggurt
darwin	wine	darwine	darine
negative	attitude	negatude	negativitude
automatic	tune	autotune	automatice
anger	aneurysm	angeurysm	angerrysm
homosexual	holocaust	homocaust	homosexualust
tofu	turkey	tofurkey	turkey
academic	trampoline	acatramp	academicline
dawn	moment	dohment	doment
dormitory	automobile	dormobile	dormitorobile
ridiculous	donkey	ridonkulous	ridiculousy
situational	comedy	sitcom	situationaly
month	anniversary	monthiversary	monthersary
frappe	cappucino	frappucino	frappecino
math	athlete	mathlete	mathete
tea	coffee	teaffee	toffee
zebra	horse	zorse	zebrase
republican	democrat	republicrat	republicanat
cunt	explaining	cuntplaining	culaining
bedazzle	baffle	bedaffle	bedazzlele
diabetes	obesity	diabesity	diabetsity
tired	angry	tangry	tingry
arpa	network	arpanet	artwork
request	question	requestion	requestion
class	auditorium	classitorium	clastorium
opinion	innuendo	opinuendo	opiniuendo
american	indigenous	amerind	americannous
pod	pedestrian	podestrian	podestrian
frozen	yogurt	frogurt	froogurt
jizz	disney	jizzney	jisney
